id,text
0,{'Jump to navigation'}
1,{'Jump to search'}
2,"{'Welcome to Wikipedia,'}"
3,{'the free encyclopedia that anyone can edit.'}
4,"{'6,490,703 articles in English'}"
5,"{""From today's featured article""}"
6,{'Drenović (right) with a German officer'}
7,"{'Uroš Drenović (1911–1944) was a Bosnian Serb officer of the Royal Yugoslav Army who became a Chetnik commander during World War II. He was one of the leaders of the popular uprising in mid-1941 against the Ustaše, a fascist organization that governed the Independent State of Croatia, a puppet state of the Axis powers. However, he eventually betrayed the communist-led Partisans and sided with the royalist and Serbian nationalist Chetniks, whose ideology more closely matched his own. He was defeated by the Partisans and fled to Ustaše-held territory where, out of military and political necessity, he concluded a collaboration agreement with them on 27 April 1942. He later collaborated with the Italian and German occupiers against the Partisans. Drenović was killed in an Allied air raid in May 1944. Despite his extensive collaboration, he and his Chetniks are celebrated in Republika Srpska, the Serb-majority entity of Bosnia and Herzegovina, creating significant controversy. (Full article...)'}"
8,{'Recently featured: 1921–22 Cardiff City F.C. season No. 79 Squadron RAAF Armenian genocide'}
9,{'Archive By email More featured articles'}
10,{'Did you know ...'}
11,{'Gold plating'}
12,{'... that Daniel Davis was the first person in the United States to work with gold and silver electroplating (illustrated) as a business?'}
13,"{'... that Gret Palucca had to close her dance school in Dresden, Germany, in 1939 because of her Jewish descent, but reopened it in 1945?'}"
14,"{'... that Ashton Hawkins arranged for the construction of the West Wing of the Metropolitan Museum of Art in New York City, to house the Temple of Dendur?'}"
15,{'... that the Malyuk rifle was originally developed as a private venture under a contract with the Security Service of Ukraine?'}
16,{'... that Indonesian translator Ali Audah would often take hours to translate a single word or sentence?'}
17,"{'... that the 1972 hymn ""Das eine Brot wächst auf vielen Halmen"", with an Israeli melody, has been used for Catholic Corpus Christi processions and Protestant Kirchentag conventions?'}"
18,{'... that magnetoreception in birds works by quantum effects in their eyes?'}
19,"{""... that at the premiere of The Cage, a ballet about female insects preying on their male counterparts, choreographer Jerome Robbins's mother walked out of the theater?""}"
20,{'Archive Start a new article Nominate an article'}
21,{'In the news'}
22,{'Elon Musk'}
23,"{""Twitter's board of directors accepts a takeover offer from Elon Musk (pictured).""}"
24,"{'Freedom Movement, led by Robert Golob, wins the most seats in the Slovenian parliamentary election.'}"
25,{'Emmanuel Macron is re-elected as President of France.'}
26,"{'Kane Tanaka, the second oldest verified person ever, dies at the age of 119 years and 107 days.'}"
